date,precip_mm_sum,soil_surface_moisture,soil_rootzone_moisture,ndvi,t2m_mean,t2m_max,t2m_min,month,t2m_mean_anomaly_clim,t2m_mean_ratio_clim,t2m_mean_anomaly_roll,delta_t2m_mean_5d,delta_t2m_mean_10d,precip_mm_sum_anomaly_clim,precip_mm_sum_ratio_clim,precip_mm_sum_anomaly_roll,delta_precip_mm_sum_5d,delta_precip_mm_sum_10d,ndvi_zscore,ndvi_anomaly_roll,delta_ndvi_5d,delta_ndvi_10d,soil_deficit_index,soil_surface_moisture_anomaly_roll,delta_soil_surface_moisture_5d,delta_soil_surface_moisture_10d,soil_clay_pct,soil_silt_pct,soil_sand_pct,soil_soc_gkg,soil_ph,soil_bulk_density,soil_data_source,topo_elevation_m,topo_data_source,phen_planting_doy__soybean,phen_flowering_doy__soybean,phen_harvest_doy__soybean,phen_planting_doy__vegetables,phen_flowering_doy__vegetables,phen_harvest_doy__vegetables
2019-06-26,0.0,17.80611033024249,106.267402953772,0.643480706216376,30.6,30.6,21.3,6,-2.1383333333333283,0.934684111388281,-2.4099999999999966,-6.100000000000001,-1.6999999999999957,-3.8188751477423675,0.0,-3.7277704880234235,0.0,0.0,1.2868657905308558,0.005020339516224159,0.010040679032448208,0.010040679032448208,0,2.5689869471124993,3.3114098949858057,1.7856227488205363,25,35,40,15,6.5,1.3,Fallback_FAO_Defaults,130.0,Open_Elevation_API,,,,,,
2019-06-27,0.0,17.59269785554912,103.67632856430812,0.643480706216376,32.4,32.4,23.0,6,-0.33833333333333115,0.9896655297052386,-0.8766666666666652,-1.0,1.5,-3.8188751477423675,0.0,-3.6709321605113403,-0.5647503027459982,-24.954736543693524,1.2868657905308558,0.004685650215142445,0.010040679032448208,0.010040679032448208,0,2.4669094904967555,1.4046022498925161,3.2097361031155334,25,35,40,15,6.5,1.3,Fallback_FAO_Defaults,130.0,Open_Elevation_API,,,,,,
2019-06-28,15.8627568491725,17.379285380855748,101.08525417484422,0.643480706216376,32.1,32.1,23.5,6,-0.6383333333333283,0.9805019599857457,-1.3766666666666652,-0.3999999999999986,-1.6999999999999957,12.043881701430132,4.15377728663117,12.28728282171911,15.8627568491725,15.8627568491725,1.2868657905308558,0.006814306995911346,0.010040679032448208,0.010040679032448208,0,2.3086991179152445,0.5807140421060595,4.633849457410532,25,35,40,15,6.5,1.3,Fallback_FAO_Defaults,130.0,Open_Elevation_API,,,,,,
2019-06-29,0.0,18.04189183404756,102.85386892803456,0.643480706216376,34.3,34.3,22.4,6,1.5616666666666674,1.0477014712620272,0.6866666666666603,1.6999999999999957,-2.6000000000000014,-3.8188751477423675,0.0,-3.572890129853788,-24.80394920666497,0.0,1.2868657905308558,0.008942963776680135,0.010040679032448208,0.010040679032448208,0,2.9703747572531523,0.6328447622047868,6.933981739590713,25,35,40,15,6.5,1.3,Fallback_FAO_Defaults,130.0,Open_Elevation_API,,,,,,
2019-06-30,15.8627568491725,18.704498287239375,104.62248368122494,0.643480706216376,32.3,32.3,22.8,6,-0.4383333333333326,0.9866110064654076,-1.3400000000000034,0.3999999999999986,-4.700000000000003,12.043881701430132,4.15377728663117,12.289866719318713,15.8627568491725,15.8627568491725,1.2868657905308558,0.011071620557449036,0.010040679032448208,0.010040679032448208,0,3.7217791438417382,0.6849754823035141,5.903193022382606,25,35,40,15,6.5,1.3,Fallback_FAO_Defaults,130.0,Open_Elevation_API,,,,,,
2019-07-01,0.0,19.36710474043119,106.39109843441528,0.643480706216376,31.4,31.4,23.3,7,-4.185483870967744,0.8823822689570774,-2.210000000000001,0.7999999999999972,-5.300000000000004,-0.8510608302693518,0.0,-3.565197422554659,0.0,0.0,1.2868657905308558,0.013200277338217825,0.0,0.010040679032448208,0,4.56291227768101,1.5609944101887017,4.872404305174507,25,35,40,15,6.5,1.3,Fallback_FAO_Defaults,130.0,Open_Elevation_API,,,,,,
2019-07-02,0.0,18.821498585571224,107.40484817977256,0.643480706216376,30.9,30.9,23.1,7,-4.685483870967744,0.8683315958845125,-2.8299999999999983,-1.5,-2.5,-0.8510608302693518,0.0,-3.571834909548829,0.0,-0.5647503027459982,1.2868657905308558,0.015328934118986615,0.0,0.010040679032448208,0,4.285561550719176,1.2288007300221047,2.633402979914621,25,35,40,15,6.5,1.3,Fallback_FAO_Defaults,130.0,Open_Elevation_API,,,,,,
2019-07-03,9.598702875618544,18.275892430711256,108.41859792512984,0.643480706216376,29.0,29.0,23.4,7,-6.585483870967742,0.8149390382087658,-4.899999999999999,-3.1000000000000014,-3.5,8.747642045349192,11.278515629230235,6.8586925175261655,-6.264053973553956,9.598702875618544,1.2868657905308558,0.017457590899755515,0.0,0.010040679032448208,0,3.9707020097022596,0.8966070498555077,1.4773210919615671,25,35,40,15,6.5,1.3,Fallback_FAO_Defaults,130.0,Open_Elevation_API,,,,,,
2019-07-04,9.543570162089432,17.730286275851288,109.43234767048712,0.643480706216376,33.0,33.0,23.6,7,-2.5854838709677423,0.9273444227892852,-1.0166666666666657,-1.2999999999999972,0.3999999999999986,8.69250933182008,11.213734462516614,6.803559803997054,9.543570162089432,-15.260379044575538,1.2868657905308558,0.019586247680524305,0.0,0.010040679032448208,0,3.618333654630261,-0.31160555819627334,0.32123920400851347,25,35,40,15,6.5,1.3,Fallback_FAO_Defaults,130.0,Open_Elevation_API,,,,,,
2019-07-05,0.0,16.00977993114463,105.90116324675348,0.643480706216376,33.5,33.5,25.4,7,-2.0854838709677423,0.9413950958618501,-0.5266666666666637,1.2000000000000028,1.6000000000000014,-0.8510608302693518,0.0,-2.7400103580923783,-15.8627568491725,0.0,1.2868657905308558,0.021714904461293094,0.0,0.010040679032448208,0,2.0535562956564863,-2.694718356094743,-2.009742873791229,25,35,40,15,6.5,1.3,Fallback_FAO_Defaults,130.0,Open_Elevation_API,,,,,,
