date,precip_mm_sum,soil_surface_moisture,soil_rootzone_moisture,t2m_mean,t2m_max,t2m_min,precip_mm_sum_lag7,precip_mm_sum_lag14,soil_surface_moisture_lag7,soil_surface_moisture_lag14,soil_rootzone_moisture_lag7,soil_rootzone_moisture_lag14,t2m_mean_lag7,t2m_mean_lag14,t2m_max_lag7,t2m_max_lag14,t2m_min_lag7,t2m_min_lag14,precip_mm_sum_lag7,soil_surface_moisture_lag7,soil_rootzone_moisture_lag7,t2m_mean_lag7,t2m_max_lag7,t2m_min_lag7,precip_mm_sum_lag14,soil_surface_moisture_lag14,soil_rootzone_moisture_lag14,t2m_mean_lag14,t2m_max_lag14,t2m_min_lag14,ndvi_delta,ndvi,ndvi_anomaly
2019-08-10,0.0,2.0813402700458523,14.302072579265069,39.1,39.1,26.7,0.0,0.0,2.851567044500141,3.929905505211256,21.419518447076783,34.006983196761134,34.9,35.3,34.9,35.3,27.5,23.7,0.0,2.851567044500141,21.419518447076783,34.9,34.9,27.5,0.0,3.929905505211256,34.006983196761134,35.3,35.3,23.7,-0.022220080710879886,0.5306901523247785,-1.0510232847740062
2019-08-11,0.0,2.050326149269692,13.77674774200132,39.0,39.0,26.9,1.7555803760588329,0.0,2.6586714970971115,3.5948138009137263,20.24970172273761,31.6123413298094,34.1,34.4,34.1,34.4,27.0,25.2,1.7555803760588329,2.6586714970971115,20.24970172273761,34.1,34.1,27.0,0.0,3.5948138009137263,31.6123413298094,34.4,34.4,25.2,-0.022220080710879886,0.5306901523247785,-0.983142370117451
2019-08-12,0.0,2.019312028493531,13.251422904737568,39.4,39.4,27.0,0.0,0.0,2.4657759496940823,3.4103388486361657,19.07988499839843,29.642020232047518,35.2,36.1,35.2,36.1,26.0,25.7,0.0,2.4657759496940823,19.07988499839843,35.2,35.2,26.0,0.0,3.4103388486361657,29.642020232047518,36.1,36.1,25.7,-0.022220080710879886,0.5306901523247785,-0.9196453741772574
2019-08-13,0.0,2.053038360748126,12.93660862073356,39.2,39.2,26.8,0.0,0.0,2.2728804022910527,3.225863896358605,17.910068274059256,27.671699134285625,37.4,37.2,37.4,37.2,26.4,25.9,0.0,2.2728804022910527,17.910068274059256,37.4,37.4,26.4,0.0,3.225863896358605,27.671699134285625,37.2,37.2,25.9,0.0,0.5084700716138986,-1.8560504569669978
2019-08-14,0.0,2.086764693002721,12.621794336729552,38.1,38.1,27.5,0.0,0.0,2.219371731801373,3.041388944081045,16.88251132154911,25.70137803652374,38.1,37.0,38.1,37.0,26.2,26.0,0.0,2.219371731801373,16.88251132154911,38.1,38.1,26.2,0.0,3.041388944081045,25.70137803652374,37.0,37.0,26.0,0.0,0.5084700716138986,-1.7015201474618364
2019-08-15,4.5008078914665,2.1204910252573166,12.306980052725544,36.6,36.6,27.1,0.0,0.0,2.165863061311693,2.978114977554077,15.854954369038966,24.27409150670809,38.8,36.6,38.8,36.6,26.9,26.2,0.0,2.165863061311693,15.854954369038966,38.8,38.8,26.9,0.0,2.978114977554077,24.27409150670809,36.6,36.6,26.2,0.0,0.5084700716138986,-1.5720179665457354
2019-08-16,0.0,2.079963042291486,12.002796514331225,37.6,37.6,27.9,0.0,0.0,2.1123543908220133,2.914841011027109,14.82739741652882,22.84680497689244,39.8,36.8,39.8,36.8,27.2,26.5,0.0,2.1123543908220133,14.82739741652882,39.8,39.8,27.2,0.0,2.914841011027109,22.84680497689244,36.8,36.8,26.5,0.0,0.5084700716138986,-1.4612417907239261
2019-08-17,0.0,2.039435059325656,11.698612975936902,39.2,39.2,27.3,0.0,0.0,2.0813402700458523,2.851567044500141,14.302072579265069,21.419518447076783,39.1,34.9,39.1,34.9,26.7,27.5,0.0,2.0813402700458523,14.302072579265069,39.1,39.1,26.7,0.0,2.851567044500141,21.419518447076783,34.9,34.9,27.5,0.0,0.5084700716138986,-1.3650381626009451
2019-08-18,0.0,1.998907076359825,11.39442943754258,39.5,39.5,27.2,0.0,1.7555803760588329,2.050326149269692,2.6586714970971115,13.77674774200132,20.24970172273761,39.0,34.1,39.0,34.1,26.9,27.0,0.0,2.050326149269692,13.77674774200132,39.0,39.0,26.9,1.7555803760588329,2.6586714970971115,20.24970172273761,34.1,34.1,27.0,0.0,0.5084700716138986,-1.2806103247638096
2019-08-19,0.0,1.998907076359825,11.301167963905415,38.6,38.6,27.2,0.0,0.0,2.019312028493531,2.4657759496940823,13.251422904737568,19.07988499839843,39.4,35.2,39.4,35.2,27.0,26.0,0.0,2.019312028493531,13.251422904737568,39.4,39.4,27.0,0.0,2.4657759496940823,19.07988499839843,35.2,35.2,26.0,0.0,0.5084700716138986,-1.206097974176314
