date,precip_mm_sum,soil_surface_moisture,soil_rootzone_moisture,ndvi,t2m_mean,t2m_max,t2m_min,month,t2m_mean_anomaly_clim,t2m_mean_ratio_clim,t2m_mean_anomaly_roll,delta_t2m_mean_5d,delta_t2m_mean_10d,precip_mm_sum_anomaly_clim,precip_mm_sum_ratio_clim,precip_mm_sum_anomaly_roll,delta_precip_mm_sum_5d,delta_precip_mm_sum_10d,ndvi_zscore,ndvi_anomaly_roll,delta_ndvi_5d,delta_ndvi_10d,soil_deficit_index,soil_surface_moisture_anomaly_roll,delta_soil_surface_moisture_5d,delta_soil_surface_moisture_10d,soil_clay_pct,soil_silt_pct,soil_sand_pct,soil_soc_gkg,soil_ph,soil_bulk_density,soil_data_source,topo_elevation_m,topo_data_source,phen_planting_doy__arabicacoffee,phen_flowering_doy__arabicacoffee,phen_harvest_doy__arabicacoffee
2019-07-31,2.8913327897342023,25.39999961853028,137.23440875838287,0.7151108290642384,28.4,28.4,21.1,7,-0.6145161290322605,0.978820390238479,-0.9733333333333363,-0.3000000000000007,-1.5,1.6947663213034898,2.4163578589379684,2.0713117148108418,2.8000904061550083,2.6926223802561884,0.4147607505012883,0.029668932134758075,0.07160767464282902,0.07160767464282902,0,0.0,0.0,0.0,25,35,40,15,6.5,1.3,Fallback_FAO_Defaults,,Fallback_None,273,175,19
2019-08-01,3.98240328934118,25.39999961853028,137.23440875838287,0.7151108290642384,27.9,27.9,22.2,8,-1.153225806451612,0.9603064453450286,-1.5166666666666693,-3.3000000000000007,-1.2000000000000028,1.1164904493138215,1.3895758565020293,3.187443949188501,3.98240328934118,3.98240328934118,0.4147607505012883,0.027794940785477062,0.07160767464282902,0.07160767464282902,0,0.0,0.0,0.0,25,35,40,15,6.5,1.3,Fallback_FAO_Defaults,,Fallback_None,273,175,19
2019-08-02,0.4412847142878964,25.39999961853028,137.23440875838287,0.7151108290642384,28.9,28.9,22.0,8,-0.1532258064516121,0.9947260311996892,-0.4633333333333347,-0.8000000000000007,0.29999999999999716,-2.424628125739462,0.15397701846497322,-0.8430506451314326,-0.301699037266549,0.4412847142878964,0.4147607505012883,0.02592094943619605,0.0,0.07160767464282902,0,0.0,0.0,0.0,25,35,40,15,6.5,1.3,Fallback_FAO_Defaults,,Fallback_None,273,175,19
2019-08-03,0.0,25.39999961853028,137.23440875838287,0.7151108290642384,29.1,29.1,20.9,8,0.04677419354839074,1.0016099483706213,-0.2566666666666677,2.1000000000000014,-1.0,-2.8659128400273586,0.0,-1.320007079972729,-2.3008348576309925,-1.464561981992663,0.4147607505012883,0.024046958086915038,0.0,0.07160767464282902,0,0.0,0.0,0.0,25,35,40,15,6.5,1.3,Fallback_FAO_Defaults,,Fallback_None,273,175,19
2019-08-04,10.07899224661721,25.39999961853028,137.23440875838287,0.7151108290642384,29.8,29.8,21.7,8,0.74677419354839,1.0257036584688837,0.5066666666666677,1.3000000000000007,0.9000000000000021,7.213079406589851,3.516852329159108,8.691226357749239,9.39663641509251,10.07899224661721,0.4147607505012883,0.022172966737634026,0.0,0.07160767464282902,0,0.0,0.0,0.0,25,35,40,15,6.5,1.3,Fallback_FAO_Defaults,,Fallback_None,273,175,19
2019-08-05,0.0,25.39999961853028,137.23440875838287,0.7151108290642384,30.3,30.3,21.2,8,1.24677419354839,1.042913451396214,1.0400000000000027,1.9000000000000021,1.6000000000000014,-2.8659128400273586,0.0,-1.4426607260755777,-2.8913327897342023,-0.0912423835791942,0.4147607505012883,0.020298975388353013,0.0,0.07160767464282902,0,0.0,0.0,0.0,25,35,40,15,6.5,1.3,Fallback_FAO_Defaults,,Fallback_None,273,175,19
2019-08-06,0.0,25.39999961853028,137.23440875838287,0.7151108290642384,29.7,29.7,21.3,8,0.6467741935483886,1.0222616998834175,0.41333333333333044,1.8000000000000007,-1.5,-2.8659128400273586,0.0,-1.5764033819605752,-3.98240328934118,0.0,0.4147607505012883,0.01842498403907178,0.0,0.07160767464282902,0,0.0,0.0,0.0,25,35,40,15,6.5,1.3,Fallback_FAO_Defaults,,Fallback_None,273,175,19
2019-08-07,0.3270760256811234,25.39999961853028,137.23440875838287,0.7151108290642384,28.9,28.9,21.8,8,-0.1532258064516121,0.9947260311996892,-0.3900000000000041,0.0,-0.8000000000000007,-2.538836814346235,0.11412629899728599,-1.2493273562794518,-0.11420868860677302,-0.41590772587332203,0.4147607505012883,0.016550992689790767,0.0,0.0,0,0.0,0.0,0.0,25,35,40,15,6.5,1.3,Fallback_FAO_Defaults,,Fallback_None,273,175,19
2019-08-08,0.0,25.39999961853028,137.23440875838287,0.7151108290642384,29.8,29.8,21.6,8,0.74677419354839,1.0257036584688837,0.5400000000000027,0.6999999999999993,2.8000000000000007,-2.8659128400273586,0.0,-1.6257033022381084,0.0,-2.3008348576309925,0.4147607505012883,0.014677001340509754,0.0,0.0,0,0.0,0.0,0.0,25,35,40,15,6.5,1.3,Fallback_FAO_Defaults,,Fallback_None,273,175,19
2019-08-09,0.0,25.39999961853028,137.23440875838287,0.7151108290642384,28.4,28.4,21.5,8,-0.6532258064516121,0.9775162382723589,-0.7966666666666669,-1.4000000000000021,-0.10000000000000142,-2.8659128400273586,0.0,-1.578091854645689,-10.07899224661721,-0.6823558315246987,0.4147607505012883,0.012803009991228742,0.0,0.0,0,0.0,0.0,0.0,25,35,40,15,6.5,1.3,Fallback_FAO_Defaults,,Fallback_None,273,175,19
2019-08-10,0.0,25.39999961853028,137.23440875838287,0.7151108290642384,30.0,30.0,21.1,8,0.9467741935483893,1.0325875756398157,0.7766666666666673,-0.3000000000000007,1.6000000000000014,-2.8659128400273586,0.0,-1.578091854645689,0.0,-2.8913327897342023,0.4147607505012883,0.01092901864194773,0.0,0.0,0,0.0,0.0,0.0,25,35,40,15,6.5,1.3,Fallback_FAO_Defaults,,Fallback_None,273,175,19
2019-08-11,0.0,25.39999961853028,137.23440875838287,0.7151108290642384,29.8,29.8,21.0,8,0.74677419354839,1.0257036584688837,0.5500000000000007,0.10000000000000142,1.9000000000000021,-2.8659128400273586,0.0,-1.575050441859716,0.0,-3.98240328934118,0.4147607505012883,0.009055027292666717,0.0,0.0,0,0.0,0.0,0.0,25,35,40,15,6.5,1.3,Fallback_FAO_Defaults,,Fallback_None,273,175,19
2019-08-12,0.0,25.39999961853028,137.23440875838287,0.7151108290642384,29.0,29.0,20.5,8,-0.05322580645161068,0.9981679897851552,-0.22333333333333627,0.10000000000000142,0.10000000000000142,-2.8659128400273586,0.0,-1.575050441859716,-0.3270760256811234,-0.4412847142878964,0.4147607505012883,0.007181035943385705,0.0,0.0,0,0.0,0.0,0.0,25,35,40,15,6.5,1.3,Fallback_FAO_Defaults,,Fallback_None,273,175,19
2019-08-13,0.0,25.39999961853028,137.23440875838287,0.6997228948998406,29.5,29.5,20.6,8,0.4467741935483893,1.0153777827124855,0.25,-0.3000000000000007,0.3999999999999986,-2.8659128400273586,0.0,-1.550284316807901,0.0,0.0,0.19560008243885,-0.007693967082198938,-0.015387934164397765,-0.015387934164397765,0,0.0,0.0,0.0,25,35,40,15,6.5,1.3,Fallback_FAO_Defaults,,Fallback_None,273,175,19
2019-08-14,0.0140605637836893,25.39999961853028,137.23440875838287,0.6997228948998406,30.8,30.8,20.8,8,1.74677419354839,1.0601232443235442,1.5166666666666657,2.400000000000002,1.0,-2.8518522762436693,0.0049061379632030526,-1.4595292577698453,0.0140605637836893,-10.064931682833521,0.19560008243885,-0.007181035943385594,-0.015387934164397765,-0.015387934164397765,0,0.0,0.0,0.0,25,35,40,15,6.5,1.3,Fallback_FAO_Defaults,,Fallback_None,273,175,19
2019-08-15,0.0,25.39999961853028,137.23440875838287,0.6997228948998406,30.8,30.8,20.9,8,1.74677419354839,1.0601232443235442,1.5400000000000027,0.8000000000000007,0.5,-2.8659128400273586,0.0,-1.48908635820383,0.0,0.0,0.19560008243885,-0.007147508038802042,-0.015387934164397765,-0.015387934164397765,0,0.0,0.0,0.0,25,35,40,15,6.5,1.3,Fallback_FAO_Defaults,,Fallback_None,273,175,19
